x1_mol,T_K,P_atm,y1_mol
0.36,305.4850779681948,0.1,0.6504759249717725
0.42,304.85666450879324,0.1,0.6789613453471901
0.44,304.6761976309642,0.1,0.6876128973396121
0.54,303.9274927248335,0.1,0.7275095529357558
0.56,303.80154396527917,0.1,0.7351872296757755
0.6,303.5678894230083,0.1,0.7506134164830885
0.62,303.459293507474,0.1,0.7584487478051338
0.64,303.35575193072674,0.1,0.7664231097453086
0.66,303.2570533253897,0.1,0.774580208773061
0.72,302.98920384236527,0.1,0.800604554867814
0.73,302.9487296122331,0.1,0.8052320458949913
0.74,302.9094941798912,0.1,0.8099597339297411
0.75,302.87152797192334,0.1,0.814794604572917
0.77,302.79955346620136,0.1,0.8248151928940738
0.78,302.7656349512329,0.1,0.8300163185079064
0.79,302.733165543065,0.1,0.8353555003365959
0.8,302.7022055509977,0.1,0.8408413343931912
0.806,302.6843816041347,0.1,0.844206958793375
0.809,302.6756872177762,0.1,0.8459114126017215
0.812,302.6671405827258,0.1,0.8476306378241067
0.815,302.65874378987706,0.1,0.8493648971576098
0.818,302.65049898772986,0.1,0.85111445737574
0.821,302.64240838312367,0.1,0.8528795894347939
0.824,302.63447424199495,0.1,0.8546605685829746
0.827,302.62669889015854,0.1,0.8564576744723795
0.83,302.6190847141153,0.1,0.8582711912739617
0.833,302.6116341618837,0.1,0.8601014077955497
0.836,302.60434974386044,0.1,0.8619486176030542
0.839,302.5972340337054,0.1,0.8638131191449647
0.842,302.59028966925683,0.1,0.865695215880245
0.845,302.58351935347383,0.1,0.8675952164097591
0.848,302.5769258554084,0.1,0.8695134346113497
0.851,302.570512011208,0.1,0.8714501897786922
0.854,302.56428072514876,0.1,0.8734058067640658
0.857,302.5582349707012,0.1,0.8753806161251807
0.863,302.54671230311493,0.1,0.879389163643138
0.866,302.5412416929393,0.1,0.8814235928237056
0.869,302.53596922267025,0.1,0.88347859675191
0.872,302.5308982289083,0.1,0.885554536867436
0.875,302.52603212456205,0.1,0.8876517812900696
0.878,302.5213744001639,0.1,0.8897707049993198
0.881,302.51692862522566,0.1,0.8919116900194389
0.884,302.5126984496355,0.1,0.8940751256100347
0.887,302.5086876050981,0.1,0.8962614084624821
0.89,302.5048999066179,0.1,0.8984709429023614
0.893,302.50133925402804,0.1,0.9007041410981327
0.895,302.4990935871487,0.1,0.9022062936073671
0.896,302.4980096335665,0.1,0.9029614232762944
0.899,302.49491511949924,0.1,0.9052432179432639
0.9,302.4939365777568,0.1,0.9060093386692096
0.905,302.48944815784625,0.1,0.9098821015493163
0.91,302.4856483169249,0.1,0.9138266738226082
0.915,302.48255777794355,0.1,0.9178452183786415
0.92,302.4801980218492,0.1,0.9219399727968629
0.925,302.47859131341824,0.1,0.9261132529074527
0.93,302.4777607284431,0.1,0.9303674565500866
0.935,302.47773018235176,0.1,0.9347050675438882
0.94,302.4785244603404,0.1,0.9391286598828581
0.945,302.48016924911235,0.1,0.9436409021721769
0.95,302.482691170316,0.1,0.9482445623219776
0.955,302.4861178157859,0.1,0.9529425125165105
0.96,302.49047778469776,0.1,0.9577377344780398
0.965,302.4958007227543,0.1,0.9626333250463889
0.97,302.50211736353066,0.1,0.9676325020967455
0.975,302.5094595721155,0.1,0.9727386108202166
0.98,302.51786039119526,0.1,0.9779551303936616
0.982,302.5215247636537,0.1,0.9800734592877215
0.984,302.5253662322609,0.1,0.9822102697425912
0.988,302.5335896236804,0.1,0.9865403078275075
0.99,302.5379762144629,0.1,0.988734031703158
0.992,302.54254923849294,0.1,0.9909472298023291
0.994,302.5473111174765,0.1,0.9931801606367793
0.996,302.55226430929747,0.1,0.9954330870359958
0.08,326.58323809751755,0.2,0.3326922732574725
0.4,318.15908021148186,0.2,0.6643944646321059
0.46,317.57370168950007,0.2,0.6906341666128494
0.48,317.40347245064953,0.2,0.6988198157469032
0.5,317.24349776265933,0.2,0.7068238381508675
0.6,316.56557774550475,0.2,0.7458625575042792
0.64,316.3397664093844,0.2,0.7618707717761839
0.66,316.23511372790284,0.2,0.7701358061416098
0.68,316.1357781265944,0.2,0.7786352813493028
0.7,316.0417405974428,0.2,0.7874166044663845
0.71,315.9967287051768,0.2,0.7919283963347815
0.72,315.9530774253654,0.2,0.7965295224578434
0.73,315.9108113640648,0.2,0.8012266722616825
0.74,315.8699612919151,0.2,0.8060267652428809
0.75,315.8305642510022,0.2,0.8109369749717217
0.76,315.792663684056,0.2,0.8159647546185332
0.77,315.75630958701197,0.2,0.8211178642011714
0.78,315.7215586861493,0.2,0.8264043997713375
0.8,315.6571282762887,0.2,0.8374120038885488
0.803,315.64807471344653,0.2,0.8391165332619538
0.809,315.6304667787031,0.2,0.8425698386215049
0.812,315.62191708971176,0.2,0.8443191451801113
0.815,315.61354014908034,0.2,0.8460839149264602
0.818,315.6053384607599,0.2,0.8478644236399461
0.821,315.5973145952341,0.2,0.8496609514966134
0.824,315.5894711904141,0.2,0.8514737831844876
0.827,315.5818109525633,0.2,0.8533032080219762
0.83,315.57433665725034,0.2,0.855149520079455
0.833,315.5670511503335,0.2,0.85701301830415
0.836,315.5599573489753,0.2,0.8588940066484306
0.839,315.55305824268953,0.2,0.8607927942016396
0.842,315.54635689442085,0.2,0.8627096953255785
0.845,315.53985644165806,0.2,0.8646450297937788
0.848,315.53356009758164,0.2,0.8665991229347035
0.854,315.52159297380666,0.2,0.8705649152110189
0.857,315.51592900976283,0.2,0.8725772941245562
0.86,315.5104827882683,0.2,0.8746097915833034
0.863,315.50525791946023,0.2,0.8766627629858406
0.866,315.50025809683723,0.2,0.8787365702355379
0.869,315.4954870986786,0.2,0.8808315819154879
0.872,315.49094878950666,0.2,0.8829481734686475
0.875,315.48664712159365,0.2,0.8850867273833946
0.878,315.48258613651575,0.2,0.8872476333846931
0.881,315.47876996675296,0.2,0.8894312886310809
0.884,315.47520283733957,0.2,0.8916380979176894
0.887,315.471889067564,0.2,0.8938684738855311
0.89,315.4688330727211,0.2,0.8961228372372833
0.893,315.4660393659186,0.2,0.898401616959817
0.895,315.4643248840525,0.2,0.8999345837841657
0.896,315.46351255993824,0.2,0.9007052505537357
0.899,315.4612573691545,0.2,0.9030341842701708
0.9,315.46056682753493,0.2,0.9038161961790158
0.905,315.45758121056946,0.2,0.9077697823017403
0.91,315.45539116094454,0.2,0.9117975220645053
0.915,315.4540206544335,0.2,0.9159016708333501
0.92,315.4534945438366,0.2,0.920084563038439
0.925,315.4538385895489,0.2,0.9243486159855082
0.93,315.45507949174356,0.2,0.9286963338820551
0.935,315.4572449242638,0.2,0.9331303120928198
0.94,315.4603635703257,0.2,0.937653241640279
0.945,315.4644651601395,0.2,0.9422679139670704
0.95,315.46958051056635,0.2,0.9469772259786386
0.955,315.4757415669351,0.2,0.9517841853858385
0.96,315.4829814471536,0.2,0.9566919163688444
0.965,315.4913344882587,0.2,0.9617036655854521
0.97,315.5008362955597,0.2,0.9668228085487788
